measurementPoint,e2eLatencyMax-Min,e2eLatencyMax-Mean,e2eLatencyMax-Max,e2eLatencyMean-Min,e2eLatencyMean-Mean,e2eLatencyMean-Max,e2eLatencyMin-Min,e2eLatencyMin-Mean,e2eLatencyMin-Max,e2eLatency95%-Min,e2eLatency95%-Mean,e2eLatency95%-Max,e2eLatencyUnit,e2eLatencyFactor,e2eLatencyAvailability,e2eLatencyConfigChanges,e2eDelayTargetMin,e2eDelayTargetMean,e2eDelayTargetMax,e2eDelayTargetTotal,e2eDelayTargetUnit,e2eDelayTargetFactor,e2eDelayTargetAvailability,e2eDelayTargetConfigChanges,localRoundtripTimeMax-Min,localRoundtripTimeMax-Mean,localRoundtripTimeMax-Max,localRoundtripTimeMean-Min,localRoundtripTimeMean-Mean,localRoundtripTimeMean-Max,localRoundtripTimeMin-Min,localRoundtripTimeMin-Mean,localRoundtripTimeMin-Max,localRoundtripTimeUnit,localRoundtripTimeFactor,localRoundtripTimeAvailability,localRoundtripTimeConfigChanges,remoteRoundtripTimeMax-Min,remoteRoundtripTimeMax-Mean,remoteRoundtripTimeMax-Max,remoteRoundtripTimeMean-Min,remoteRoundtripTimeMean-Mean,remoteRoundtripTimeMean-Max,remoteRoundtripTimeMin-Min,remoteRoundtripTimeMin-Mean,remoteRoundtripTimeMin-Max,remoteRoundtripTimeUnit,remoteRoundtripTimeFactor,remoteRoundtripTimeAvailability,remoteRoundtripTimeConfigChanges,applicationResponseTimeThresholdMin,applicationResponseTimeThresholdMean,applicationResponseTimeThresholdMax,applicationResponseTimeThresholdTotal,applicationResponseTimeThresholdUnit,applicationResponseTimeThresholdFactor,applicationResponseTimeThresholdAvailability,applicationResponseTimeThresholdConfigChanges,roundtripTimeEventThresholdMin,roundtripTimeEventThresholdMean,roundtripTimeEventThresholdMax,roundtripTimeEventThresholdTotal,roundtripTimeEventThresholdUnit,roundtripTimeEventThresholdFactor,roundtripTimeEventThresholdAvailability,roundtripTimeEventThresholdConfigChanges,e2eLatency99%-Min,e2eLatency99%-Mean,e2eLatency99%-Max,e2eLatency99.9%-Min,e2eLatency99.9%-Mean,e2eLatency99.9%-Max
<!>cfgFile,/home/jpc/rnd/corvil/trunk/test/demo_get_stats_clients_1hour.cfg
<!>updateIntervalSeconds,300
<!>updateInterval,5 minutes
<!>startTimestampMs,1376042100000
<!>startTime,Fri Aug  9 10:55:00 2013
<!>endTimestampMs,1376045700000
<!>endTime,Fri Aug  9 11:55:00 2013
<!>noDataValues,unchanged
rt-class/CUST_AlgoSpeed//London_CNE/CustomerGateway//class-default,65315000,263571750,1407294000,9031374,14866560,28013212,5624000,6010083,7562000,19469800,38686523,84903350,ms,1000000,100,,1000000000,1000000000,1000000000,12000000000,ms,1000000,100,,15902,15974,16078,15829,15843,15852,15717,15746,15775,ms,1000,100,,3312,4537,6271,2842,2935,2996,2123,2292,2531,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,,,,,,
rt-class/CUST_AlphaChase/London_CNE//CustomerGateway//class-default,4538000,11225416,28220000,4518600,5394987,7042778,3737000,4028583,4538000,4538000,9367090,28135351,ms,1000000,100,,500000000,500000000,500000000,6000000000,ms,1000000,100,,97702,97722,97767,59328,84048,97692,15788,73103,97670,ms,1000,83,,2994,3248,4935,2939,3011,3283,2096,2784,2994,ms,1000,83,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,4538000,9883613,28220000,,,
rt-class/CUST_Arco/London_CNE//CustomerGateway//class-default,192738000,306207916,325176000,25498311,95985345,130473502,17588000,17918666,18354000,28700871,255897943,288704667,ms,1000000,100,,500000000,500000000,500000000,6000000000,ms,1000000,100,,43883,43943,44281,43850,43865,43897,43815,43827,43845,ms,1000,92,,6390,7505,9625,3945,4253,4442,2997,3324,3449,ms,1000,92,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,192738000,299424292,324437000,,,
rt-class/CUST_Bergman//London_CNE/CustomerGateway//class-default,687690000,1463686000,2865361000,154577581,226692886,395706709,17588000,17878250,18116000,381462869,699199558,1748326175,ms,1000000,100,,500000000,500000000,500000000,6000000000,ms,1000000,100,,44281,55649,98136,43903,44233,47016,43810,43820,43832,ms,1000,100,,7020,9082,10693,4051,4120,4237,2178,2369,2629,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,456285847,1164362731,2380044334,,,
rt-class/CUST_Bergman//London_CNE/CustomerGateway/TrafficGaps-BusinessHours/class-default,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ms,1000000,0,,-1,-1,-1,-1,ms,1000000,0,,44002,51137,58087,43917,44156,44774,43810,43858,43885,ms,1000,100,,3124,3992,9341,2809,2876,2983,2178,2369,2629,ms,1000,100,,1000000,1000000,1000000,12000000,ms,1000,100,,1000000,1000000,1000000,12000000,ms,1000,100,,,,,-1,-1,-1
rt-class/CUST_Bergman//London_CNE/CustomerGateway/TrafficGaps/class-default,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ms,1000000,0,,-1,-1,-1,-1,ms,1000000,0,,44002,51137,58087,43917,44156,44774,43810,43858,43885,ms,1000,100,,3124,3992,9341,2809,2876,2983,2178,2369,2629,ms,1000,100,,1000000,1000000,1000000,12000000,ms,1000,100,,1000000,1000000,1000000,12000000,ms,1000,100,,,,,-1,-1,-1
rt-class/CUST_BlaiseCapital/London_CNE//CustomerGateway//class-default,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ms,1000000,0,,500000000,500000000,500000000,6000000000,ms,1000000,100,,-1,-1,-1,-1,-1,-1,-1,-1,-1,ms,1000,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,ms,1000,0,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,-1,-1,-1,,,
rt-class/CUST_BriteEdge/London_CNE//CustomerGateway//class-default,687690000,1463686000,2865361000,167408854,250440224,457533775,17852000,18170000,18515000,389130272,757115147,1783467531,ms,1000000,100,,500000000,500000000,500000000,6000000000,ms,1000000,100,,43924,43990,44356,35384,41608,43895,15757,29805,43828,ms,1000,100,,7020,8949,10693,4158,4247,4328,2864,2950,3066,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,514154314,1223086053,2655340127,,,
rt-class/CUST_BroadwayLLC/London_CNE//CustomerGateway//class-default,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ms,1000000,0,,500000000,500000000,500000000,6000000000,ms,1000000,100,,-1,-1,-1,-1,-1,-1,-1,-1,-1,ms,1000,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,ms,1000,0,,200000,200000,200000,2400000,ms,1000,100,,200000,200000,200000,2400000,ms,1000,100,,-1,-1,-1,,,
