link,parentCheckpoint,childCheckpoint,category,linkStatus,maxLatency,averageLatency,stdDevLatency,numMessages,lastMessageTime,totalMessages,
REQ to ACK,REQ,ACK,,ACTIVE,1436.8 ms,453.466 ms,2.646,9130,12:37:50,544447,
REQ to ACK#HSBC,REQ,ACK,HSBC,ACTIVE,736.785 ms,437.357 ms,0.955,67,12:37:50,10581,
REQ to ACK#JPM,REQ,ACK,JPM,ACTIVE,0.000 ms,0.000 ms,0.000,0,12:37:30,11244,
REQ to ACK#DB,REQ,ACK,DB,ACTIVE,640.336 ms,446.317 ms,0.208,206,12:37:50,12353,
REQ to ACK#INVESTEC,REQ,ACK,INVESTEC,ACTIVE,582.913 ms,476.748 ms,1.156,137,12:37:50,8990,
REQ to ACK#STATE STREET,REQ,ACK,STATE STREET,ACTIVE,1280.35 ms,472.542 ms,2.748,68,12:37:50,10769,
REQ to ACK#ALLIANZ,REQ,ACK,ALLIANZ,ACTIVE,1090.354 ms,433.731 ms,1.363,224,12:37:50,11105,
REQ to ACK#SCHRODERS,REQ,ACK,SCHRODERS,ACTIVE,536.165 ms,456.956 ms,1.948,373,12:37:50,11846,
REQ to ACK#THAMES CAPITAL,REQ,ACK,THAMES CAPITAL,ACTIVE,701.246 ms,497.194 ms,2.725,41,12:37:50,8523,
REQ to ACK#ROBECO,REQ,ACK,ROBECO,ACTIVE,626.007 ms,401.131 ms,1.756,381,12:37:50,11432,
REQ to ACK#GARTMORE,REQ,ACK,GARTMORE,ACTIVE,1168.964 ms,449.753 ms,2.488,55,12:37:50,9979,
REQ to ACK#ASPECT,REQ,ACK,ASPECT,ACTIVE,0.000 ms,0.000 ms,0.000,0,12:37:10,10687,
