link,parentCheckpoint,childCheckpoint,category,linkStatus,maxLatency,averageLatency,stdDevLatency,numMessages,lastMessageTime,totalMessages,
REQ to ACK,REQ,ACK,,ACTIVE,1436.8 ms,453.466 ms,2.646,9130,12:37:50,544447,
REQ to ACK#EUREX,REQ,ACK,EUREX,ACTIVE,903.921 ms,410.114 ms,0.265,334,12:37:50,9100,
REQ to ACK#LSE,REQ,ACK,LSE,ACTIVE,813.88 ms,414.743 ms,0.697,381,12:37:50,11358,
REQ to ACK#LIFFE,REQ,ACK,LIFFE,ACTIVE,1329.349 ms,471.665 ms,0.939,239,12:37:50,9418,
REQ to ACK#CME,REQ,ACK,CME,ACTIVE,761.217 ms,469.535 ms,1.057,365,12:37:50,11673,
REQ to ACK#ICE,REQ,ACK,ICE,ACTIVE,1003.81 ms,409.624 ms,1.09,94,12:37:50,9824,
REQ to ACK#CHI-X,REQ,ACK,CHI-X,ACTIVE,0.000 ms,0.000 ms,0.000,0,12:37:30,10615,
REQ to ACK#NYSE,REQ,ACK,NYSE,ACTIVE,569.686 ms,467.777 ms,1.995,161,12:37:50,10805,
REQ to ACK#NASDAQ,REQ,ACK,NASDAQ,ACTIVE,678.598 ms,469.41 ms,1.836,358,12:37:50,9948,
REQ to ACK#SWX,REQ,ACK,SWX,ACTIVE,973.828 ms,479.312 ms,0.102,2,12:37:50,10595,
REQ to ACK#BATS,REQ,ACK,BATS,ACTIVE,1436.8 ms,444.355 ms,1.58,250,12:37:50,10750,
REQ to ACK#TURQUOISE,REQ,ACK,TURQUOISE,ACTIVE,695.614 ms,477.538 ms,0.622,365,12:37:50,10162,
